part,group,material,pieces,size_x_mm,size_y_mm,size_z_mm
aft_closure,01 Airframe,skin_dark,1,11.0,2984.9,1429.2
air_data_probe_l,01 Airframe,steel,3,283.0,56.8,61.9
air_data_probe_r,01 Airframe,steel,3,283.0,56.8,61.9
antenna_datalink,01 Airframe,skin_dark,1,240.0,13.1,166.7
antenna_dorsal,01 Airframe,skin_dark,1,260.0,13.1,192.2
antenna_ventral,01 Airframe,skin_dark,1,200.0,13.1,149.3
aoa_vane_l,01 Airframe,steel,2,64.0,49.2,95.5
aoa_vane_r,01 Airframe,steel,2,64.0,49.2,95.5
fuselage_skin,01 Airframe,skin,1,13240.0,4720.0,1816.4
irst_fairing,01 Airframe,skin,1,440.0,226.6,182.1
irst_window,01 Airframe,sensor_glass,1,144.0,144.0,144.0
nav_light_l,01 Airframe,lens_red,1,100.0,24.0,24.0
nav_light_r,01 Airframe,lens_green,1,100.0,24.0,24.0
panel_seams,01 Airframe,seam,32,11405.0,2365.0,1810.3
static_wicks_l,01 Airframe,rubber,5,942.8,4152.9,2187.8
static_wicks_r,01 Airframe,rubber,5,942.8,4152.9,2187.8
tail_light_l,01 Airframe,lens_white,1,56.0,20.0,20.0
tail_light_r,01 Airframe,lens_white,1,56.0,20.0,20.0
canard_drive_l,02 Flying surfaces,steel,13,459.0,907.6,221.0
canard_drive_r,02 Flying surfaces,steel,13,459.0,907.6,221.0
canard_l,02 Flying surfaces,skin,1,2776.3,1861.3,65.4
canard_r,02 Flying surfaces,skin,1,2776.3,1861.3,65.4
canard_spindle_l,02 Flying surfaces,steel,1,60.0,900.0,60.0
canard_spindle_r,02 Flying surfaces,steel,1,60.0,900.0,60.0
fin_l,02 Flying surfaces,skin,1,2870.0,1148.7,1773.5
fin_r,02 Flying surfaces,skin,4,2870.0,1148.7,1773.5
flaperon_act_in_l,02 Flying surfaces,steel,4,302.2,56.0,56.2
flaperon_act_in_r,02 Flying surfaces,steel,4,302.2,56.0,56.2
flaperon_act_out_l,02 Flying surfaces,steel,4,298.4,34.6,36.0
flaperon_act_out_r,02 Flying surfaces,steel,4,298.4,34.6,36.0
flaperon_in_l,02 Flying surfaces,skin_dark,5,1392.6,1996.0,196.7
flaperon_in_r,02 Flying surfaces,skin_dark,5,1392.6,1996.0,196.7
flaperon_out_l,02 Flying surfaces,skin_dark,5,877.7,1996.0,139.5
flaperon_out_r,02 Flying surfaces,skin_dark,5,877.7,1996.0,139.5
le_flap_act_l,02 Flying surfaces,steel,8,2255.7,2103.1,99.6
le_flap_act_r,02 Flying surfaces,steel,8,2255.7,2103.1,99.6
le_flap_l,02 Flying surfaces,skin_dark,7,4732.1,4096.0,288.8
le_flap_r,02 Flying surfaces,skin_dark,7,4732.1,4096.0,288.8
