name,collection,module,material,verts,faces,x_min_mm,x_max_mm,y_min_mm,y_max_mm,z_min_mm,z_max_mm,spool,spin
aft_closure,01 Airframe,details,skin_dark,752,382,13227.0,13238.0,-1492.4,1492.4,-789.3,639.4,,
air_data_probe_l,01 Airframe,details,steel,128,100,346.0,629.0,-231.6,-174.8,262.6,324.5,,
air_data_probe_r,01 Airframe,details,steel,128,100,346.0,629.0,174.8,231.6,262.6,324.5,,
antenna_datalink,01 Airframe,details,skin_dark,168,146,11300.0,11540.0,-6.6,6.6,-595.7,-429.0,,
antenna_dorsal,01 Airframe,details,skin_dark,168,146,7700.0,7960.0,-6.6,6.6,784.2,976.4,,
antenna_ventral,01 Airframe,details,skin_dark,168,146,3700.0,3900.0,-6.6,6.6,-590.0,-440.6,,
aoa_vane_l,01 Airframe,details,steel,56,32,1420.0,1484.0,-483.0,-433.8,-134.8,-39.4,,
aoa_vane_r,01 Airframe,details,steel,56,32,1420.0,1484.0,433.8,483.0,-134.8,-39.4,,
bay_door_l,05 Weapons bay,bay,skin_dark,1394,1392,5251.0,9049.0,-404.9,-2.0,-769.4,-590.3,,
bay_door_r,05 Weapons bay,bay,skin_dark,1394,1392,5251.0,9049.0,2.0,404.9,-769.4,-590.3,,
bay_structure,05 Weapons bay,bay,structure,408,398,5242.0,9058.0,-413.0,413.0,-758.5,-142.0,,
canard_drive_l,02 Flying surfaces,surfaces,steel,580,508,4710.0,5169.0,-1382.4,-462.0,189.0,410.0,,
canard_drive_r,02 Flying surfaces,surfaces,steel,580,508,4710.0,5169.0,462.0,1382.4,189.0,410.0,,
canard_l,02 Flying surfaces,surfaces,skin,1248,1201,4586.4,7362.7,-3100.0,-1238.7,298.3,363.7,,
canard_r,02 Flying surfaces,surfaces,skin,1248,1201,4586.4,7362.7,1238.7,3100.0,298.3,363.7,,
canard_spindle_l,02 Flying surfaces,surfaces,steel,120,98,5089.0,5149.0,-1520.0,-620.0,300.0,360.0,,
canard_spindle_r,02 Flying surfaces,surfaces,steel,120,98,5089.0,5149.0,620.0,1520.0,300.0,360.0,,
canopy_frame_l,04 Cockpit,cockpit,skin_dark,2832,2818,3045.2,5754.9,-467.0,-184.3,631.6,945.0,,
canopy_frame_r,04 Cockpit,cockpit,skin_dark,2832,2818,3045.2,5754.9,184.3,467.0,631.6,945.0,,
canopy_glass,04 Cockpit,cockpit,canopy,3034,2954,3020.0,5780.0,-455.0,455.0,638.5,1180.0,,
cockpit_controls,04 Cockpit,cockpit,cockpit,140,100,4000.0,4380.0,-425.0,425.0,121.0,524.3,,
cockpit_hud,04 Cockpit,cockpit,cockpit,56,32,3420.0,3579.2,-100.0,100.0,674.0,862.1,,
cockpit_panel,04 Cockpit,cockpit,cockpit,212,204,3300.0,3540.0,-280.0,280.0,119.0,675.0,,
cockpit_tub,04 Cockpit,cockpit,cockpit,344,334,3300.0,5650.0,-470.0,470.0,115.0,560.0,,
engine_l_ab_fuel_control,08 Engine port,engines,steel,808,734,12470.0,12736.0,-1050.7,-930.7,-525.8,-412.8,,
engine_l_ab_fuel_manifold,08 Engine port,engines,steel,6080,5952,12631.0,12739.0,-1291.0,-309.0,-491.0,491.0,,
engine_l_ab_igniter,08 Engine port,engines,steel,96,54,12835.0,12869.0,-645.9,-529.5,273.7,457.6,,
engine_l_ab_spray_rings,08 Engine port,engines,inconel,8064,7200,12634.0,12740.0,-1166.0,-434.0,-366.0,366.0,,
engine_l_ab_spraybars,08 Engine port,engines,inconel,4096,2496,12634.0,12684.0,-1275.9,-324.1,-475.9,475.9,,
engine_l_augmentor_case,08 Engine port,engines,cmc,5760,5760,12410.0,13240.0,-1234.0,-366.0,-434.0,434.0,,
engine_l_augmentor_liner,08 Engine port,engines,cmc,26560,26560,12590.0,13240.0,-1228.0,-372.0,-428.0,428.0,,
engine_l_blades_hpc_r1,08 Engine port,engines,titanium,8424,7560,11221.4,11270.0,-1116.8,-483.2,-316.8,316.8,hp,-1.0
engine_l_blades_hpc_r2,08 Engine port,engines,titanium,9828,8820,11343.6,11386.0,-1114.1,-485.9,-314.3,314.3,hp,-1.0
engine_l_blades_hpc_r3,08 Engine port,engines,titanium,11232,10080,11453.7,11490.0,-1111.6,-488.4,-311.6,311.6,hp,-1.0
engine_l_blades_hpc_r4,08 Engine port,engines,nickel,12636,11340,11550.7,11582.0,-1110.2,-489.8,-310.2,310.2,hp,-1.0
engine_l_blades_hpc_r5,08 Engine port,engines,nickel,14976,13440,11634.8,11660.0,-1109.1,-490.9,-309.1,309.1,hp,-1.0
engine_l_blades_hpc_r6,08 Engine port,engines,nickel,17784,15960,11707.9,11728.0,-1108.2,-491.8,-308.2,308.2,hp,-1.0
engine_l_blades_hpt_r,08 Engine port,engines,nickel_hot,56280,30744,12150.0,12198.0,-1131.7,-468.3,-331.7,331.7,hp,-1.0
engine_l_blades_lpt_r,08 Engine port,engines,nickel_hot,10764,9660,12337.7,12398.0,-1164.6,-435.4,-364.9,364.9,lp,1.0
engine_l_brg_1_lp_roller,08 Engine port,engines,steel,2030,2180,10609.0,10631.0,-900.0,-700.0,-100.0,100.0,,
engine_l_brg_2_lp_ball,08 Engine port,engines,steel,3290,3440,10832.8,10857.2,-900.0,-700.0,-100.0,100.0,,
engine_l_brg_3_hp_ball,08 Engine port,engines,steel,4228,4448,10905.8,10934.2,-958.0,-642.0,-158.0,158.0,,
engine_l_brg_4_hp_roller,08 Engine port,engines,steel,2430,2660,12224.0,12246.0,-956.0,-644.0,-156.0,156.0,,
engine_l_brg_5_lp_roller,08 Engine port,engines,steel,2080,2240,12284.0,12306.0,-898.0,-702.0,-98.0,98.0,,
engine_l_case_combustor,08 Engine port,engines,casing,14720,14720,11730.0,12076.0,-1182.0,-418.0,-382.0,382.0,,
engine_l_case_fan,08 Engine port,engines,casing,9600,9600,10382.0,10815.0,-1246.0,-354.0,-446.0,446.0,,
engine_l_case_hpc,08 Engine port,engines,casing,9600,9600,11170.0,11730.0,-1127.0,-473.0,-327.0,327.0,,
engine_l_case_outer_aft,08 Engine port,engines,inconel,13120,13120,11750.0,13240.0,-1270.0,-330.0,-470.0,470.0,,
